text,sumber
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur poll 😢",twitter
"udh jam 3 pagi masih melek, besok ada ujian tp mata ga mau tutup",twitter
"deadline dua hari lalu tp belom mulai, stress gw tingkat dewa udh, 😢",twitter
"overwhelmed parah, to-do list, makin panjang tp tenaga makin tipis 😞",twitter
"setiap bangun pagi ngerasa berat banget, gamau ngapa2in pengen tiduran aja 😢",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur poll",twitter
"ngerasa hampa parah, udh lama ga bs seneng sama sekali capek hidup 😭😭",twitter
"overwhelmed parah, to-do list makin panjang tp tenaga makin tipis 😞",twitter
"panik parah tadi pertemuan penting, tangan gemetaran keringetan malu bngt",twitter
"stress poll deadline numpuk smua minta seminggu lalu, otak gw uda ga jalan",twitter
"udh berminggu2 ga bisa ngrasa seneng, ketawa jg rasanya hampa 💔",twitter
"ga bs tenang, pikiran muter trs ttg pekerjaan, anxiety parah",twitter
"khawatir kalo skripsi ga sesuai rencana, parno bgt jadinya",twitter
"udh minum susu, matiin hp, tp tetep aja melek sampe subuh 😞",twitter
"udh minum susu, matiin hp, tp, tetep aja melek sampe subuh",twitter
"takut gagal poll sampe gemeteran, sblm presentasi",twitter
"kelelahan poll tp ga bs tidur, badan lemes otak masih jalan terus 😴",twitter
"tiap malem begadang, bukan krn mau tp emg gabisa tidur, :(",twitter
"susah amat tidur belakangan ini, setiap mau tidur tiba2 anxiety 💔",twitter
"pusing banget, semua hal dateng barengan, gamau mikir apa2 lg",twitter
"otak gw overload amat, info kebanyakan, ga bs fokus 😞",twitter
"cemas poll mikirin hasil test, ga bisa berhenti, mikir 😰",twitter
"udh ga ngrasa apa2 lg, kosong bgt dalem sini, sedih jg ga bs 😞",twitter
"kerja keras trs tp ga ada apresiasi, cape parah sm kondisi ini :(",twitter
"overthinking trs smpe ga bs tidur, besok ada interview tp malah kepikiran yg bukan2",twitter
"khawatir kalo hubungan, ga sesuai rencana, parno bgt jadinya",twitter
"kelelahan amat tp ga bs tidur, badan lemes otak masih jalan terus 😞",twitter
"pola tidur gw rusak parah, tidur jam 4 bangun jam 12 tiap hari",twitter
"males ngapa2in, bangun tidur aja cape amat, pengen ilang aja 😞",twitter
"ga mau ketemu siapapun, gamau ngomong, mau sendiri aja, nangis 💔",twitter
"tiap mau tidur kepikiran presentasi, anxiety naik trs",twitter
"insomnia kumat lg, tiap malem cuma rebahan sambil nangis",twitter
"insomnia gw makin parah belakangan ini, sampe sakit kepala tiap pagi huhu",twitter
@collegemenfess kak boleh kirim curhatan ga?,twitter
"ngrasa sendirian parah pdhl dikelilingin banyak org, ngga ada yg ngerti gw",twitter
"ga ada energi buat ngapa2in, makan aja, males apalagi keluar 😢",twitter
"mata udh berat amat tp begitu rebahan, langsung melek lg",twitter
"udh 3 hari ini, tidur kurang dr 3 jam, badan ga kuat",twitter
"tiap mau tidur kepikiran keputusan besar, anxiety naik trs",twitter
"kerja keras trs tp ga ada apresiasi, cape parah sm kondisi ini 💔",twitter
"cemas bgt mikirin skripsi, ga bisa berhenti mikir",twitter
"capek banget sm tuntutan yg ga ada abisnya, gw jg manusia bkn robot huhu",twitter
"otak gw overload bgt, info kebanyakan, ga bs fokus, huhu",twitter
"ga bisa fokus sm sekali, pikiran kemana2 overthinking parah parah sih 😭😭",twitter
"ngrasa sendirian parah, pdhl dikelilingin banyak org, ngga ada yg ngerti gw",twitter
"anxiety gw kumat lg, jantung deg2an pdhl ga ada apa2, help huhu",twitter
"beban presentasi numpuk, gw mau meledak rasanya",twitter
"tekanan dr segala arah, dari ortu dosen, pacar, mau kabur rasanya 😭😭",twitter
"panik banget tadi sidang,, tangan gemetaran keringetan malu bngt 😰",twitter
"muak poll sm sistem, udh kerja keras tp yg dapet reward org lain",twitter
"ngrasa gagal trs, ga pernah cukup apapun yg, gw lakuin",twitter
takut gagal poll sampe gemeteran sblm presentasi,twitter
"nangis di kamar mandi biar ga ketauan, sendirian banget :(",twitter
"beban hasil test numpuk, gw mau meledak rasanya",twitter
"deg2an trs dr tadi, ga tau knp kayak ada firasat ga enak gt 😰",twitter
"jantung berdebar trs dr kmrn, badan jg, ikut tegang semua 💔",twitter
"udh coba segala, cara buat tidur tp mata ttp melek sampe pagi",twitter
"ga ada energi buat ngapa2in, makan aja males apalagi, keluar huhu",twitter
"nangis di kamar mandi biar ga ketauan, sendirian banget 😰",twitter
"gabisa tidur dr seminggu lalu, badan cape banget tp otak ga mau berhenti 💔",twitter
"tiap hari ada aja, masalah baru, ga sempet napas udh dateng lg yg baru",twitter
"putus asa amat, udh nyoba banyak hal tp ga ada yg berhasil pengen nyerah :(",twitter
"nervous parah sebelum ujian, perut mual deg2an 😴",twitter
"udh jam 3 pagi masih melek, besok ada kuliah tp mata ga mau tutup :(",twitter
"was2 amat nunggu, hasil meeting, deg2an sampe ga napsu makan",twitter
"ngerasa hampa banget, udh lama ga, bs seneng sama sekali capek hidup",twitter
"ngrasa sendirian amat pdhl dikelilingin banyak org, ngga ada yg ngerti gw",twitter
"udh ga sanggup lg ngejalanin ini semua, capek poll sm rutinitas huhu",twitter
"nervous amat sebelum, sidang, perut mual deg2an huhu",twitter
"ngrasa jd beban buat semua org, mending gw ga ada aja kali ya 😭😭",twitter
"nervous banget sebelum, presentasi, perut mual deg2an 😭😭",twitter
"overthinking trs smpe ga bs tidur, besok ada hasil test tp malah kepikiran yg bukan2",twitter
"panik banget tadi sidang,, tangan gemetaran keringetan malu bngt huhu",twitter
"jantung berdebar trs dr beberapa hari, ini, badan jg ikut tegang semua",twitter
"ngrasa sendirian banget pdhl dikelilingin banyak, org, ngga ada yg ngerti gw huhu",twitter
"insomnia gw makin parah, belakangan ini, sampe sakit kepala tiap pagi",twitter
"udh ga sanggup lg ngejalanin ini semua, capek bgt sm rutinitas",twitter
"tiap mau tidur kepikiran macem2, makanya ga bs tidur 😰",twitter
"overthinking trs smpe ga bs tidur, besok ada hubungan tp malah kepikiran yg bukan2 🤯",twitter
"was2 banget nunggu hasil ujian, deg2an sampe ga napsu makan 😴",twitter
"udh berminggu2 ga bisa ngrasa, seneng, ketawa jg rasanya hampa",twitter
"ga bs tenang, pikiran muter trs ttg sidang skripsi, anxiety parah",twitter
"cemas parah mikirin masalah keluarga, ga bisa berhenti mikir",twitter
"beban hubungan numpuk, gw mau meledak rasanya 😴",twitter
"pusing bgt, semua hal dateng barengan, gamau mikir apa2 lg :(",twitter
"udh lama ga ngrasa bahagia beneran, semua kerasa palsu 😭😭",twitter
"capek pura2 baik2 aja pdhal dalem sini, hancur banget",twitter
"ngrasa jd beban buat semua org, mending gw ga, ada aja kali ya 🤯",twitter
"beban masalah keluarga numpuk, gw mau meledak rasanya",twitter
"ngerasa hampa bgt, udh lama ga bs seneng sama sekali capek hidup",twitter
"kerja keras trs, tp ga ada apresiasi, cape amat sm kondisi ini huhu",twitter
"ngerasa trapped di situasi yg, ga bs gw kontrol, stress banget",twitter
"gabisa tidur dr beberapa hari ini, badan cape poll tp otak ga mau berhenti 🤯",twitter
"ga bs dapet tidur yg berkualitas, trs kebangun tengah, malem",twitter
"setiap bangun pagi ngerasa berat parah, gamau ngapa2in pengen tiduran aja",twitter
"ga bs dapet tidur, yg berkualitas, trs kebangun tengah malem",twitter
"frustrasi parah sama kondisi ini, udh usaha tp ga ada perubahan jg 💔",twitter
https://t.co/abcxyz @collegemenfess check this out!!!,twitter
"tekanan dr segala arah, dari ortu dosen, pacar, mau kabur rasanya",twitter
"tertekan parah sm ekspektasi ortu, capek ngejar standar org lain mulu",twitter
"gabisa tidur dr tdi malem, badan cape parah tp otak ga mau berhenti 😞",twitter
"susah banget tidur belakangan ini, setiap mau, tidur tiba2 anxiety",twitter
"deadline tdi malem tp belom mulai, stress gw tingkat dewa udh",twitter
"ngrasa hidup gw ga ada artinya, mau ngapain jg sia2 aja",twitter
"insomnia gw makin parah belakangan ini, sampe sakit, kepala tiap pagi",twitter
"udh lama ga ngrasa bahagia beneran, semua kerasa palsu 😞",twitter
"beban deadline kerjaan numpuk, gw mau meledak rasanya",twitter
"jantung berdebar trs dr seminggu lalu, badan jg ikut tegang semua",twitter
"panik bgt tadi pertemuan penting, tangan gemetaran keringetan malu bngt 💔",twitter
"nangis tiba2 tanpa sebab, udh biasa sih buat gw skrg 😰",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur, bgt",twitter
"tiap mau tidur, kepikiran ujian, anxiety naik trs 😴",twitter
"kelelahan amat tp ga bs tidur, badan lemes otak masih jalan terus, 😰",twitter
"nangis di kamar mandi biar ga ketauan, sendirian amat",twitter
"beban interview numpuk, gw mau meledak rasanya 🤯",twitter
"udh jam 3 pagi masih melek, besok ada pertemuan penting tp mata ga mau tutup 😞",twitter
"takut bgt sama future gw, smua org keliatan sukses cuma gw doang yg stuck",twitter
"was2 bgt nunggu hasil pertemuan penting, deg2an sampe ga napsu makan 😢",twitter
mata udh berat bgt tp begitu rebahan langsung melek lg 😴,twitter
"panik parah tadi pertemuan penting, tangan gemetaran keringetan malu bngt",twitter
"anxiety gw kumat lg, jantung deg2an pdhl ga ada apa2, help",twitter
"ga bs dapet tidur yg berkualitas, trs kebangun tengah malem",twitter
"ga mau ketemu siapapun, gamau ngomong, mau sendiri aja nangis 🤯",twitter
"nangis tiba2 tanpa sebab, udh biasa sih buat, gw skrg 💔",twitter
"tiap mau tidur kepikiran macem2, makanya ga bs tidur 🤯",twitter
"badan udh minta istirahat tp pikiran malah makin aktif pas mau tidur, 😞",twitter
"was2 bgt nunggu hasil presentasi, deg2an sampe ga napsu makan 💔",twitter
"beban keputusan besar numpuk, gw, mau meledak rasanya",twitter
"ngrasa hidup gw ga ada artinya, mau ngapain jg sia2, aja",twitter
"tiap malem begadang,, bukan krn mau tp emg gabisa tidur 😰",twitter
"udh ga ngrasa apa2 lg, kosong banget dalem sini, sedih jg ga bs",twitter
"jam segini masih melek pdhl besok pagi hrs kuliah, capek poll",twitter
rt @user: retweet ini buat keberuntungan,twitter
"tiap mau tidur kepikiran macem2, makanya, ga bs tidur",twitter
aq bngung bgt mo nangis krn presentasi mulu ttg masa depan,twitter
"ga bs tenang, pikiran muter trs ttg, keputusan besar, anxiety parah 🤯",twitter
"ga bs tenang, pikiran muter trs ttg skripsi, anxiety parah",twitter
"ngerasa trapped di situasi yg ga bs gw kontrol, stress poll",twitter
"ga bs dapet tidur yg berkualitas, trs kebangun tengah malem 😰",twitter
"tertekan poll sm ekspektasi ortu, capek ngejar, standar org lain mulu",twitter
"gabisa tidur dr seminggu lalu, badan cape parah tp otak ga mau berhenti 😞",twitter
"udh ga ngrasa apa2 lg, kosong poll dalem sini, sedih jg ga bs 🤯",twitter
"deg2an trs dr tadi, ga tau knp kayak ada firasat, ga enak gt",twitter
"gelisah trs dr kmrn, entah knp tiba2 ngrasa takut ga jelas gt 🤯",twitter
"ngrasa sendirian poll pdhl dikelilingin banyak, org, ngga ada yg ngerti gw",twitter
"ga mau ketemu siapapun, gamau ngomong, mau sendiri aja nangis 😰",twitter
"panic attack lagi, napas sesak jantung mau copot tolong 💔",twitter
"tertekan amat sm ekspektasi ortu,, capek ngejar standar org lain mulu 😭😭",twitter
"setiap bangun pagi ngerasa berat, poll, gamau ngapa2in pengen tiduran aja 😴",twitter
"ngrasa sendirian amat pdhl dikelilingin banyak org,, ngga ada yg ngerti gw 😰",twitter
"beban interview numpuk, gw mau meledak, rasanya",twitter
"kerja keras trs tp ga ada apresiasi, cape bgt sm kondisi ini 🤯",twitter
"takut amat sama future gw, smua org keliatan sukses cuma gw doang yg stuck 😴",twitter
"kerja keras trs tp ga ada apresiasi, cape amat sm kondisi ini 😞",twitter
"pusing parah, semua hal dateng barengan, gamau mikir apa2 lg",twitter
"frustrasi poll sama kondisi ini, udh usaha tp ga ada perubahan jg",twitter
"jam segini masih melek pdhl besok pagi hrs kerja, capek banget",twitter
"frustrasi banget sama kondisi ini, udh usaha tp ga, ada perubahan jg",twitter
"tekanan dr segala arah, dari ortu dosen pacar, mau, kabur rasanya",twitter
"pressure dr semua arah, ngerasa mau pecah tp hrs ttp strong huhu",twitter
"cemas banget mikirin masalah keluarga,, ga bisa berhenti mikir",twitter
"tiap mau tidur kepikiran sidang skripsi, anxiety naik trs",twitter
"pola tidur gw rusak parah, tidur jam 4 bangun jam 12 tiap hari 😴",twitter
"ga ada energi buat ngapa2in, makan aja males, apalagi keluar",twitter
"ga bs dapet tidur yg, berkualitas, trs kebangun tengah malem",twitter
udh coba segala cara buat tidur tp mata ttp melek sampe pagi,twitter
"nangis di kamar mandi biar ga ketauan, sendirian banget",twitter
"pola tidur gw rusak parah, tidur jam 4 bangun jam, 12 tiap hari :(",twitter
"udh 3 hari ini tidur kurang dr 3 jam, badan, ga kuat",twitter
"udh minum susu, matiin hp, tp tetep aja melek sampe subuh 😰",twitter
"stress level gw udah tinggi, mau healing tp ga ada waktu sama sekali :(",twitter
"ngrasa sendirian parah pdhl dikelilingin banyak org, ngga ada yg ngerti gw 😭😭",twitter
"udh ga ngrasa apa2 lg,, kosong bgt dalem sini, sedih jg ga bs",twitter
"otak gw overload poll, info kebanyakan, ga bs, fokus",twitter
"ngerasa trapped di situasi yg ga bs gw kontrol, stress banget",twitter
"ngrasa jd beban buat semua org, mending gw ga ada aja kali ya 😴",twitter
"kebangun jam 3 trs ga bs tidur lg sampe pagi, stress, jdnya :(",twitter
"badan udh minta istirahat tp pikiran malah makin aktif pas mau, tidur",twitter
"nangis di kamar mandi biar, ga ketauan, sendirian amat :(",twitter
"takut bgt sama future gw, smua org keliatan sukses cuma gw doang yg stuck 💔",twitter
"khawatir banget sama pekerjaan ini, takut org tua kecewa",twitter
"tertekan poll sm ekspektasi ortu, capek ngejar standar org lain mulu, 😞",twitter
"overthinking trs smpe ga bs tidur, besok ada presentasi tp malah kepikiran yg bukan2 💔",twitter
"pusing amat, semua hal dateng barengan, gamau mikir apa2 lg",twitter
"gelisah trs dr beberapa hari ini, entah knp tiba2 ngrasa takut ga jelas gt :(",twitter
"ngrasa jd beban buat semua org, mending gw ga ada aja kali ya 😢",twitter
"udh jam 3 pagi masih melek, besok ada sidang tp mata ga mau, tutup",twitter
takut gagal amat sampe gemeteran sblm sidang,twitter
"overwhelmed parah, to-do list makin panjang tp tenaga makin tipis 😭😭",twitter
"panik amat tadi presentasi, tangan gemetaran keringetan malu bngt",twitter
"gw gabisa tidur dr tadi siang, pikiran muter2 ga brenti ttg pekerjaan",twitter
"udh ga ngrasa apa2 lg, kosong poll dalem, sini, sedih jg ga bs",twitter
"udh ga sanggup lg ngejalanin ini semua, capek poll sm rutinitas",twitter
"overthinking trs smpe ga bs tidur, besok ada hubungan tp malah kepikiran yg bukan2 🤯",twitter
"kebangun jam 3 trs ga bs tidur lg sampe pagi, stress jdnya 😭😭",twitter
"takut amat sama future gw, smua, org keliatan sukses cuma gw doang yg stuck 😰",twitter
"tiap mau tidur kepikiran pekerjaan, anxiety, naik trs :(",twitter
"gelisah trs dr beberapa hari ini, entah knp tiba2 ngrasa takut ga jelas gt",twitter
"udh 3 hari ini tidur kurang dr 3 jam, badan ga kuat 🤯",twitter
"pressure dr semua arah, ngerasa mau pecah tp hrs ttp, strong",twitter
"ngrasa sendirian amat pdhl dikelilingin banyak org, ngga ada yg ngerti gw huhu",twitter
"jam 2 malem masih, gabisa bobo, pikiran muter2 ga ada habisnya 😞",twitter
"ga ada semangat buat ngelakuin apapun, hari2 berat parah :(",twitter
"takut amat sama future gw, smua org keliatan sukses cuma gw doang yg stuck :(",twitter
"ngrasa hidup gw ga, ada artinya, mau ngapain jg sia2 aja",twitter
"tiap hari ada aja masalah, baru, ga sempet napas udh dateng lg yg baru",twitter
"ngerasa hampa poll, udh lama ga bs seneng sama sekali capek hidup :(",twitter
"burnout parah, udh sebulan kerja keras tp hasilnya nihil kecewa, poll",twitter
"ngerasa exhausted tp ttp, ga bs tidur, ini paling nyiksa sih",twitter
"tekanan dr segala arah,, dari ortu dosen pacar, mau kabur rasanya",twitter
"cemas poll mikirin hasil test, ga bisa berhenti mikir",twitter
"ga bs dapet tidur yg berkualitas, trs kebangun tengah malem 😭😭",twitter
"ngrasa gagal trs, ga pernah, cukup apapun yg gw lakuin 😴",twitter
"setiap bangun pagi ngerasa berat banget, gamau ngapa2in pengen tiduran aja 😭😭",twitter
"overwhelmed parah, to-do list makin, panjang tp tenaga makin tipis 😴",twitter
"cemas parah mikirin interview, ga bisa berhenti mikir",twitter
"capek parah sm tuntutan yg ga ada abisnya, gw jg, manusia bkn robot",twitter
"ngerasa exhausted tp, ttp ga bs tidur, ini paling nyiksa sih",twitter
"was2 parah nunggu hasil ujian, deg2an sampe ga napsu makan",twitter
"udh berminggu2 ga bisa ngrasa seneng,, ketawa jg rasanya hampa",twitter
"capek parah sm tuntutan yg ga ada abisnya, gw jg manusia bkn robot",twitter
aq bngung poll mo nangis krn sidang skripsi mulu ttg masa depan 😞,twitter
"jantung berdebar trs dr tdi malem, badan jg ikut tegang semua",twitter
"stress poll deadline numpuk smua minta dua hari lalu, otak gw uda ga jalan",twitter
"frustrasi banget sama kondisi ini, udh usaha tp ga ada perubahan jg 🤯",twitter
"gabisa tidur dr beberapa hari ini, badan, cape bgt tp otak ga mau berhenti",twitter
"stress poll deadline numpuk smua minta beberapa hari ini, otak gw uda ga jalan 😰",twitter
"udh ga ngrasa apa2 lg, kosong amat dalem sini,, sedih jg ga bs",twitter
"overthinking trs smpe ga bs tidur, besok ada masalah keluarga tp malah kepikiran yg bukan2 🤯",twitter
"ngrasa disconnect sama diri sendiri, kayak liat hidup dr luar, 😞",twitter
"ngrasa invisible aja pdhl lg di keramaian, ga ada yg liat gw 🤯",twitter
"ngerasa ga kuat lg nanggung smua sendirian,, terlalu banyak 💔",twitter
"ga bs tenang, pikiran muter trs ttg ekspektasi org lain, anxiety parah huhu",twitter
"ga bisa fokus sm sekali,, pikiran kemana2 overthinking parah banget sih 😴",twitter
"jantung berdebar trs dr tdi malem, badan jg ikut tegang, semua 😢",twitter
"nervous banget sebelum ujian, perut mual deg2an",twitter
"otak gw overload banget, info kebanyakan, ga bs fokus",twitter
"was2 amat nunggu hasil presentasi, deg2an sampe, ga napsu makan",twitter
"putus asa poll, udh, nyoba banyak hal tp ga ada yg berhasil pengen nyerah :(",twitter
"frustrasi bgt sama kondisi ini, udh usaha tp ga ada perubahan jg",twitter
"overwhelmed parah, to-do list, makin panjang tp tenaga makin tipis",twitter
"cemas amat mikirin deadline kerjaan, ga bisa berhenti mikir",twitter
"ngerasa exhausted tp ttp ga bs tidur,, ini paling nyiksa sih",twitter
"ngerasa trapped di situasi yg ga bs gw kontrol, stress amat 😭😭",twitter
"ga mau ketemu siapapun, gamau ngomong, mau, sendiri aja nangis",twitter
"cemas banget mikirin nilai, ga bisa berhenti mikir 😢",twitter
"ngerasa ga kuat lg nanggung smua sendirian, terlalu banyak",twitter
"was2 parah nunggu hasil kerja, deg2an sampe ga napsu makan",twitter
"ngerasa hampa parah, udh lama ga bs seneng sama, sekali capek hidup",twitter
rt @user: retweet ini buat keberuntungan,twitter
"burnout parah, udh sebulan kerja, keras tp hasilnya nihil kecewa bgt",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur parah 😞",twitter
"tiap mau tidur kepikiran ekspektasi org lain, anxiety naik trs",twitter
"putus asa poll, udh nyoba banyak hal tp ga ada yg berhasil pengen nyerah 🤯",twitter
"nangis di kamar mandi biar ga ketauan, sendirian bgt 😞",twitter
"rebahan dr jam 11 tp baru ketiduran, subuh, badan ancur amat",twitter
"ga bs tenang, pikiran muter trs ttg hubungan,, anxiety parah",twitter
"ga tau knp nangis2 sendiri,, ngrsa ga berguna poll hidup gw slesai",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan, ancur bgt huhu",twitter
"jam segini masih melek pdhl besok pagi hrs kuliah, capek parah",twitter
"panic attack lagi, napas sesak jantung mau copot, tolong",twitter
"setiap bangun pagi ngerasa berat banget, gamau ngapa2in pengen tiduran aja",twitter
"was2 poll nunggu hasil kuliah, deg2an sampe ga napsu makan huhu",twitter
"gabisa tidur dr dua hari lalu, badan cape poll tp otak ga mau berhenti",twitter
"udh minum susu, matiin hp, tp tetep aja melek sampe subuh :(",twitter
"khawatir kalo pekerjaan ga sesuai, rencana, parno bgt jadinya",twitter
"gw gabisa tidur dr beberapa hari ini, pikiran muter2 ga brenti ttg masalah keluarga huhu",twitter
"males ngapa2in, bangun tidur aja cape banget, pengen ilang aja",twitter
"nangis tiba2 tanpa sebab, udh biasa sih buat, gw skrg",twitter
"kebangun jam 3 trs ga bs tidur lg sampe pagi, stress jdnya 😴",twitter
"nervous poll mau ketemu org baru, sosial anxiety gw emg parah 😢",twitter
"insomnia kumat lg, tiap malem cuma rebahan, sambil nangis",twitter
"khawatir kalo deadline kerjaan ga sesuai rencana, parno bgt, jadinya",twitter
"udh ga sanggup lg ngejalanin ini semua, capek parah sm rutinitas",twitter
promo!! diskon 50% buruan order skrg,twitter
"overthinking trs smpe ga bs tidur, besok ada presentasi tp, malah kepikiran yg bukan2",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan, ancur bgt :(",twitter
"ngerasa ga kuat, lg nanggung smua sendirian, terlalu banyak",twitter
"khawatir kalo presentasi, ga sesuai rencana, parno bgt jadinya",twitter
"was2 amat nunggu hasil interview, deg2an sampe ga, napsu makan",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur, banget 😢",twitter
"ngerasa trapped di situasi yg ga bs gw kontrol, stress parah, 😭😭",twitter
